room_id,bed_id,care_center_id
r-usa-iii-354,b-usa-1,cc-usa-1
r-usa-vip-786,b-usa-1,cc-usa-2
r-usa-vvip-249,b-usa-106,cc-usa-2
r-usa-ii-866,b-usa-107,cc-usa-2
r-usa-iii-653,b-usa-109,cc-usa-1
r-usa-iii-159,b-usa-110,cc-usa-2
r-usa-vvip-246,b-usa-111,cc-usa-2
r-usa-i-6,b-usa-113,cc-usa-1
r-usa-ii-34,b-usa-114,cc-usa-1
r-usa-ii-917,b-usa-117,cc-usa-2
r-usa-iii-861,b-usa-120,cc-usa-1
r-usa-vip-890,b-usa-120,cc-usa-2
r-usa-vip-938,b-usa-123,cc-usa-1
r-usa-vvip-968,b-usa-126,cc-usa-2
r-usa-ii-113,b-usa-128,cc-usa-1
r-usa-vvip-252,b-usa-129,cc-usa-2
r-usa-ii-767,b-usa-131,cc-usa-1
r-usa-ii-193,b-usa-131,cc-usa-2
r-usa-vvip-516,b-usa-132,cc-usa-1
r-usa-iii-468,b-usa-135,cc-usa-1
r-usa-vvip-837,b-usa-135,cc-usa-2
r-usa-ii-904,b-usa-136,cc-usa-1
r-usa-iii-231,b-usa-139,cc-usa-1
r-usa-iii-867,b-usa-141,cc-usa-2
r-usa-vip-230,b-usa-142,cc-usa-1
r-usa-vip-972,b-usa-146,cc-usa-2
r-usa-vvip-775,b-usa-149,cc-usa-1
r-usa-ii-193,b-usa-15,cc-usa-2
r-usa-i-431,b-usa-150,cc-usa-2
r-usa-iii-179,b-usa-157,cc-usa-2
r-usa-ii-482,b-usa-158,cc-usa-1
r-usa-ii-904,b-usa-159,cc-usa-1
r-usa-ii-959,b-usa-160,cc-usa-1
r-usa-vip-805,b-usa-163,cc-usa-2
r-usa-vvip-775,b-usa-167,cc-usa-1
r-usa-iii-920,b-usa-168,cc-usa-1
r-usa-vvip-5,b-usa-171,cc-usa-1
r-usa-vip-692,b-usa-173,cc-usa-2
r-usa-i-616,b-usa-177,cc-usa-1
r-usa-ii-10,b-usa-178,cc-usa-1
r-usa-vip-622,b-usa-178,cc-usa-2
r-usa-ii-933,b-usa-181,cc-usa-2
