room_id,bed_id,care_center_id
r-idn-iii-5435,b-idn-0005,cc-idn-2
r-idn-iii-8735,b-idn-0020,cc-idn-1
r-idn-iii-2270,b-idn-0028,cc-idn-1
r-idn-iii-5886,b-idn-0028,cc-idn-1
r-idn-i-2221,b-idn-0036,cc-idn-1
r-idn-ii-3160,b-idn-0039,cc-idn-2
r-idn-iii-9361,b-idn-0040,cc-idn-2
r-idn-ii-2438,b-idn-0045,cc-idn-1
r-idn-ii-0015,b-idn-0046,cc-idn-2
r-idn-ii-4573,b-idn-0047,cc-idn-1
r-idn-ii-3812,b-idn-0055,cc-idn-1
r-idn-i-3567,b-idn-0060,cc-idn-1
r-idn-ii-3003,b-idn-0065,cc-idn-1
r-idn-i-0982,b-idn-0076,cc-idn-1
r-idn-vip-6217,b-idn-0081,cc-idn-1
r-idn-vvip-4786,b-idn-0084,cc-idn-2
r-idn-ii-2805,b-idn-0084,cc-idn-1
r-idn-iii-0710,b-idn-0086,cc-idn-2
r-idn-iii-8980,b-idn-0091,cc-idn-2
r-idn-ii-2438,b-idn-0099,cc-idn-1
r-idn-ii-8296,b-idn-0103,cc-idn-2
r-idn-iii-6508,b-idn-0124,cc-idn-2
r-idn-vip-5922,b-idn-0128,cc-idn-1
r-idn-iii-5419,b-idn-0144,cc-idn-1
r-idn-vvip-6293,b-idn-0150,cc-idn-1
r-idn-vip-7488,b-idn-0154,cc-idn-2
r-idn-vip-6773,b-idn-0169,cc-idn-1
r-idn-iii-4498,b-idn-0175,cc-idn-2
r-idn-ii-5253,b-idn-0180,cc-idn-1
r-idn-iii-6494,b-idn-0194,cc-idn-1
r-idn-vvip-6741,b-idn-0208,cc-idn-1
r-idn-vip-0709,b-idn-0209,cc-idn-2
r-idn-ii-2921,b-idn-0218,cc-idn-2
r-idn-vip-9856,b-idn-0230,cc-idn-1
r-idn-ii-7615,b-idn-0231,cc-idn-1
r-idn-i-2820,b-idn-0233,cc-idn-1
r-idn-ii-9763,b-idn-0236,cc-idn-2
r-idn-i-3731,b-idn-0238,cc-idn-1
r-idn-iii-9336,b-idn-0245,cc-idn-2
r-idn-iii-8626,b-idn-0246,cc-idn-2
r-idn-iii-8980,b-idn-0254,cc-idn-2
r-idn-i-7650,b-idn-0258,cc-idn-2
r-idn-iii-8851,b-idn-0265,cc-idn-2
r-idn-iii-3246,b-idn-0270,cc-idn-2
r-idn-iii-4601,b-idn-0270,cc-idn-2
r-idn-ii-3016,b-idn-0280,cc-idn-1
r-idn-ii-0085,b-idn-0289,cc-idn-1
r-idn-vip-7403,b-idn-0293,cc-idn-1
r-idn-vvip-7027,b-idn-0302,cc-idn-1
r-idn-iii-6223,b-idn-0307,cc-idn-1
r-idn-ii-6283,b-idn-0316,cc-idn-2
r-idn-ii-1971,b-idn-0318,cc-idn-1
r-idn-ii-6804,b-idn-0321,cc-idn-1
r-idn-iii-4569,b-idn-0329,cc-idn-2
r-idn-ii-5196,b-idn-0329,cc-idn-2
r-idn-vvip-8829,b-idn-0334,cc-idn-1
r-idn-ii-9617,b-idn-0340,cc-idn-1
r-idn-iii-5435,b-idn-0345,cc-idn-2
r-idn-iii-2952,b-idn-0346,cc-idn-2
r-idn-ii-7810,b-idn-0348,cc-idn-1
r-idn-vip-0489,b-idn-0350,cc-idn-2
r-idn-ii-2081,b-idn-0356,cc-idn-1
r-idn-ii-3991,b-idn-0361,cc-idn-1
r-idn-i-5925,b-idn-0374,cc-idn-2
r-idn-iii-0143,b-idn-0382,cc-idn-2
r-idn-ii-0134,b-idn-0388,cc-idn-1
r-idn-vip-5621,b-idn-0393,cc-idn-1
r-idn-i-2740,b-idn-0394,cc-idn-2
r-idn-vvip-7795,b-idn-0398,cc-idn-2
r-idn-ii-9137,b-idn-0417,cc-idn-1
r-idn-ii-9572,b-idn-0424,cc-idn-2
r-idn-iii-5988,b-idn-0443,cc-idn-1
r-idn-iii-7851,b-idn-0447,cc-idn-1
r-idn-iii-9931,b-idn-0467,cc-idn-2
r-idn-iii-0308,b-idn-0473,cc-idn-1
r-idn-i-3784,b-idn-0496,cc-idn-2
r-idn-i-6543,b-idn-0498,cc-idn-2
r-idn-iii-2072,b-idn-0498,cc-idn-1
r-idn-iii-2273,b-idn-0525,cc-idn-1
r-idn-ii-8669,b-idn-0526,cc-idn-1
r-idn-vvip-4069,b-idn-0533,cc-idn-1
r-idn-vvip-3319,b-idn-0540,cc-idn-2
r-idn-ii-4085,b-idn-0547,cc-idn-1
r-idn-i-5262,b-idn-0547,cc-idn-2
r-idn-iii-0003,b-idn-0551,cc-idn-2
r-idn-ii-8008,b-idn-0558,cc-idn-2
r-idn-iii-4558,b-idn-0561,cc-idn-1
r-idn-vvip-2184,b-idn-0565,cc-idn-1
