room_id,room_type,care_center_id,rate
r-usa-ii-2588,Class II,cc-usa-2,159.82
r-usa-iii-6462,Class III,cc-usa-1,109.67
r-usa-iii-4328,Class III,cc-usa-1,109.67
r-usa-vip-5511,VIP,cc-usa-2,581.34
r-usa-ii-9860,Class II,cc-usa-2,159.82
r-usa-ii-3645,Class II,cc-usa-2,159.82
r-usa-vvip-3554,VVIP,cc-usa-1,937.89
r-usa-iii-0015,Class III,cc-usa-1,109.67
r-usa-ii-6611,Class II,cc-usa-1,158.98
r-usa-ii-4929,Class II,cc-usa-2,159.82
r-usa-vvip-0115,VVIP,cc-usa-1,937.89
r-usa-i-8815,Class I,cc-usa-2,468.28
r-usa-iii-0177,Class III,cc-usa-1,109.67
r-usa-iii-2832,Class III,cc-usa-1,109.67
r-usa-i-1782,Class I,cc-usa-2,468.28
r-usa-vip-2554,VIP,cc-usa-1,583.77
r-usa-iii-1501,Class III,cc-usa-1,109.67
r-usa-iii-1598,Class III,cc-usa-1,109.67
r-usa-i-1811,Class I,cc-usa-2,468.28
r-usa-vvip-1766,VVIP,cc-usa-2,903.88
r-usa-iii-3815,Class III,cc-usa-1,109.67
r-usa-ii-6566,Class II,cc-usa-1,158.98
r-usa-i-1819,Class I,cc-usa-1,333.78
r-usa-i-8797,Class I,cc-usa-2,468.28
r-usa-vvip-5518,VVIP,cc-usa-2,903.88
r-usa-vip-6460,VIP,cc-usa-2,581.34
r-usa-vip-3746,VIP,cc-usa-2,581.34
r-usa-i-6207,Class I,cc-usa-1,333.78
r-usa-vip-6445,VIP,cc-usa-2,581.34
r-usa-ii-6774,Class II,cc-usa-1,158.98
r-usa-vvip-1930,VVIP,cc-usa-2,903.88
r-usa-ii-4973,Class II,cc-usa-2,159.82
r-usa-vip-8527,VIP,cc-usa-2,581.34
r-usa-vvip-6717,VVIP,cc-usa-1,937.89
r-usa-vip-4830,VIP,cc-usa-1,583.77
r-usa-ii-9543,Class II,cc-usa-1,158.98
r-usa-ii-8275,Class II,cc-usa-2,159.82
r-usa-iii-6542,Class III,cc-usa-1,109.67
r-usa-vvip-3159,VVIP,cc-usa-2,903.88
r-usa-iii-4146,Class III,cc-usa-2,59.92
r-usa-vip-3496,VIP,cc-usa-1,583.77
r-usa-vip-2733,VIP,cc-usa-2,581.34
r-usa-vip-1579,VIP,cc-usa-1,583.77
r-usa-vvip-1260,VVIP,cc-usa-1,937.89
r-usa-ii-9091,Class II,cc-usa-1,158.98
r-usa-iii-0526,Class III,cc-usa-2,59.92
r-usa-vip-8668,VIP,cc-usa-1,583.77
r-usa-vvip-7524,VVIP,cc-usa-2,903.88
r-usa-vip-8554,VIP,cc-usa-1,583.77
r-usa-vvip-5440,VVIP,cc-usa-1,937.89
r-usa-iii-4169,Class III,cc-usa-2,59.92
r-usa-iii-6428,Class III,cc-usa-2,59.92
r-usa-vip-8614,VIP,cc-usa-1,583.77
r-usa-ii-6371,Class II,cc-usa-2,159.82
r-usa-ii-5857,Class II,cc-usa-2,159.82
r-usa-iii-3901,Class III,cc-usa-2,59.92
r-usa-vip-1133,VIP,cc-usa-2,581.34
r-usa-ii-1911,Class II,cc-usa-2,159.82
r-usa-vvip-2473,VVIP,cc-usa-1,937.89
r-usa-vvip-4957,VVIP,cc-usa-2,903.88
r-usa-i-1447,Class I,cc-usa-2,468.28
r-usa-ii-3375,Class II,cc-usa-1,158.98
r-usa-vvip-9215,VVIP,cc-usa-2,903.88
r-usa-vip-8118,VIP,cc-usa-2,581.34
r-usa-i-3582,Class I,cc-usa-1,333.78
r-usa-i-4991,Class I,cc-usa-1,333.78
r-usa-vvip-8003,VVIP,cc-usa-1,937.89
r-usa-vvip-4200,VVIP,cc-usa-1,937.89
r-usa-vip-3201,VIP,cc-usa-2,581.34
r-usa-ii-2534,Class II,cc-usa-1,158.98
r-usa-vvip-4396,VVIP,cc-usa-1,937.89
r-usa-iii-6346,Class III,cc-usa-2,59.92
r-usa-vip-1387,VIP,cc-usa-1,583.77
r-usa-i-9577,Class I,cc-usa-1,333.78
r-usa-i-1343,Class I,cc-usa-1,333.78
r-usa-vip-0670,VIP,cc-usa-1,583.77
r-usa-vip-2306,VIP,cc-usa-2,581.34
r-usa-ii-3419,Class II,cc-usa-2,159.82
r-usa-i-3259,Class I,cc-usa-1,333.78
r-usa-vip-9809,VIP,cc-usa-1,583.77
r-usa-vvip-5375,VVIP,cc-usa-2,903.88
r-usa-iii-3941,Class III,cc-usa-1,109.67
r-usa-i-1854,Class I,cc-usa-1,333.78
r-usa-vip-0905,VIP,cc-usa-2,581.34
r-usa-iii-2001,Class III,cc-usa-1,109.67
r-usa-vvip-8285,VVIP,cc-usa-1,937.89
r-usa-ii-0844,Class II,cc-usa-1,158.98
r-usa-i-2740,Class I,cc-usa-2,468.28
r-usa-vvip-1600,VVIP,cc-usa-2,903.88
r-usa-vvip-5831,VVIP,cc-usa-1,937.89
r-usa-vip-3028,VIP,cc-usa-1,583.77
r-usa-i-6533,Class I,cc-usa-2,468.28
r-usa-ii-7226,Class II,cc-usa-2,159.82
r-usa-ii-8640,Class II,cc-usa-1,158.98
r-usa-vvip-9487,VVIP,cc-usa-2,903.88
r-usa-vip-7231,VIP,cc-usa-2,581.34
r-usa-iii-3766,Class III,cc-usa-1,109.67
r-usa-vip-5843,VIP,cc-usa-2,581.34
r-usa-i-4710,Class I,cc-usa-2,468.28
r-usa-ii-2821,Class II,cc-usa-1,158.98
r-usa-i-6538,Class I,cc-usa-1,333.78
r-usa-ii-2876,Class II,cc-usa-1,158.98
r-usa-iii-3139,Class III,cc-usa-1,109.67
r-usa-vvip-1305,VVIP,cc-usa-1,937.89
r-usa-i-1055,Class I,cc-usa-1,333.78
r-usa-vvip-6726,VVIP,cc-usa-1,937.89
r-usa-vip-7934,VIP,cc-usa-1,583.77
r-usa-vip-2179,VIP,cc-usa-2,581.34
r-usa-vip-8074,VIP,cc-usa-1,583.77
r-usa-vvip-3048,VVIP,cc-usa-1,937.89
r-usa-i-0169,Class I,cc-usa-1,333.78
r-usa-i-6973,Class I,cc-usa-2,468.28
r-usa-iii-7333,Class III,cc-usa-2,59.92
r-usa-vip-1955,VIP,cc-usa-2,581.34
r-usa-vvip-1630,VVIP,cc-usa-1,937.89
r-usa-iii-7314,Class III,cc-usa-1,109.67
r-usa-vip-4527,VIP,cc-usa-1,583.77
r-usa-vvip-3027,VVIP,cc-usa-1,937.89
r-usa-ii-6844,Class II,cc-usa-1,158.98
r-usa-i-8163,Class I,cc-usa-2,468.28
r-usa-iii-8693,Class III,cc-usa-1,109.67
r-usa-ii-5423,Class II,cc-usa-1,158.98
r-usa-vip-1947,VIP,cc-usa-2,581.34
r-usa-ii-2913,Class II,cc-usa-2,159.82
r-usa-vvip-0660,VVIP,cc-usa-2,903.88
r-usa-i-0809,Class I,cc-usa-1,333.78
r-usa-ii-7873,Class II,cc-usa-2,159.82
r-usa-i-7486,Class I,cc-usa-2,468.28
r-usa-iii-7905,Class III,cc-usa-1,109.67
r-usa-i-3008,Class I,cc-usa-1,333.78
r-usa-ii-2785,Class II,cc-usa-1,158.98
r-usa-i-7514,Class I,cc-usa-1,333.78
r-usa-i-6438,Class I,cc-usa-1,333.78
r-usa-i-9416,Class I,cc-usa-2,468.28
r-usa-i-3080,Class I,cc-usa-2,468.28
r-usa-i-2446,Class I,cc-usa-1,333.78
r-usa-i-6057,Class I,cc-usa-2,468.28
r-usa-ii-0422,Class II,cc-usa-2,159.82
r-usa-vip-2131,VIP,cc-usa-1,583.77
r-usa-vvip-7332,VVIP,cc-usa-1,937.89
r-usa-vvip-1411,VVIP,cc-usa-1,937.89
r-usa-vvip-0171,VVIP,cc-usa-2,903.88
r-usa-iii-0543,Class III,cc-usa-1,109.67
r-usa-iii-9231,Class III,cc-usa-1,109.67
r-usa-ii-0857,Class II,cc-usa-1,158.98
r-usa-iii-4804,Class III,cc-usa-1,109.67
r-usa-ii-8912,Class II,cc-usa-1,158.98
r-usa-ii-1424,Class II,cc-usa-2,159.82
r-usa-vip-4609,VIP,cc-usa-1,583.77
r-usa-iii-5230,Class III,cc-usa-1,109.67
r-usa-vvip-2024,VVIP,cc-usa-1,937.89
r-usa-i-2181,Class I,cc-usa-1,333.78
r-usa-ii-0897,Class II,cc-usa-2,159.82
r-usa-ii-8413,Class II,cc-usa-2,159.82
r-usa-vip-3050,VIP,cc-usa-1,583.77
r-usa-ii-0590,Class II,cc-usa-1,158.98
r-usa-i-4353,Class I,cc-usa-1,333.78
r-usa-vip-6492,VIP,cc-usa-1,583.77
r-usa-iii-7998,Class III,cc-usa-2,59.92
r-usa-vip-7609,VIP,cc-usa-1,583.77
r-usa-i-6197,Class I,cc-usa-2,468.28
r-usa-vvip-4527,VVIP,cc-usa-1,937.89
r-usa-iii-5705,Class III,cc-usa-2,59.92
r-usa-ii-1137,Class II,cc-usa-2,159.82
r-usa-vvip-9134,VVIP,cc-usa-2,903.88
r-usa-i-3030,Class I,cc-usa-1,333.78
r-usa-ii-0148,Class II,cc-usa-2,159.82
r-usa-iii-4149,Class III,cc-usa-2,59.92
r-usa-i-1730,Class I,cc-usa-1,333.78
