care_center_id,room_id,room_type,rate
cc-usa-1,r-usa-i-0031,Class I,333.78
cc-usa-2,r-usa-i-0089,Class I,468.28
cc-usa-1,r-usa-i-0099,Class I,333.78
cc-usa-1,r-usa-i-0118,Class I,333.78
cc-usa-1,r-usa-i-0119,Class I,333.78
cc-usa-2,r-usa-i-0127,Class I,468.28
cc-usa-1,r-usa-i-0169,Class I,333.78
cc-usa-1,r-usa-i-0403,Class I,333.78
cc-usa-2,r-usa-i-0405,Class I,468.28
cc-usa-1,r-usa-i-0555,Class I,333.78
cc-usa-2,r-usa-i-0561,Class I,468.28
cc-usa-1,r-usa-i-0739,Class I,333.78
cc-usa-1,r-usa-i-0778,Class I,333.78
cc-usa-2,r-usa-i-0788,Class I,468.28
cc-usa-1,r-usa-i-0809,Class I,333.78
cc-usa-2,r-usa-i-0912,Class I,468.28
cc-usa-2,r-usa-i-0930,Class I,468.28
cc-usa-1,r-usa-i-0962,Class I,333.78
cc-usa-1,r-usa-i-0965,Class I,333.78
cc-usa-2,r-usa-i-0983,Class I,468.28
cc-usa-1,r-usa-i-1002,Class I,333.78
cc-usa-1,r-usa-i-1055,Class I,333.78
cc-usa-1,r-usa-i-1090,Class I,333.78
cc-usa-1,r-usa-i-1181,Class I,333.78
cc-usa-2,r-usa-i-1217,Class I,468.28
cc-usa-1,r-usa-i-1343,Class I,333.78
cc-usa-1,r-usa-i-1367,Class I,333.78
cc-usa-2,r-usa-i-1447,Class I,468.28
cc-usa-2,r-usa-i-1485,Class I,468.28
cc-usa-2,r-usa-i-1576,Class I,468.28
cc-usa-1,r-usa-i-1624,Class I,333.78
cc-usa-2,r-usa-i-1694,Class I,468.28
cc-usa-1,r-usa-i-1728,Class I,333.78
cc-usa-1,r-usa-i-1730,Class I,333.78
cc-usa-2,r-usa-i-1782,Class I,468.28
cc-usa-2,r-usa-i-1811,Class I,468.28
cc-usa-1,r-usa-i-1819,Class I,333.78
cc-usa-2,r-usa-i-1840,Class I,468.28
cc-usa-1,r-usa-i-1854,Class I,333.78
cc-usa-1,r-usa-i-1881,Class I,333.78
cc-usa-1,r-usa-i-1884,Class I,333.78
cc-usa-1,r-usa-i-1892,Class I,333.78
cc-usa-1,r-usa-i-1982,Class I,333.78
cc-usa-1,r-usa-i-2054,Class I,333.78
cc-usa-1,r-usa-i-2071,Class I,333.78
cc-usa-2,r-usa-i-2093,Class I,468.28
cc-usa-2,r-usa-i-2164,Class I,468.28
cc-usa-1,r-usa-i-2181,Class I,333.78
cc-usa-1,r-usa-i-2192,Class I,333.78
cc-usa-2,r-usa-i-2291,Class I,468.28
cc-usa-2,r-usa-i-2319,Class I,468.28
cc-usa-2,r-usa-i-2320,Class I,468.28
cc-usa-2,r-usa-i-2445,Class I,468.28
cc-usa-1,r-usa-i-2446,Class I,333.78
cc-usa-2,r-usa-i-2455,Class I,468.28
cc-usa-2,r-usa-i-2465,Class I,468.28
cc-usa-2,r-usa-i-2617,Class I,468.28
cc-usa-1,r-usa-i-2692,Class I,333.78
cc-usa-1,r-usa-i-2712,Class I,333.78
cc-usa-2,r-usa-i-2740,Class I,468.28
cc-usa-1,r-usa-i-2812,Class I,333.78
cc-usa-1,r-usa-i-2837,Class I,333.78
cc-usa-2,r-usa-i-2851,Class I,468.28
cc-usa-1,r-usa-i-2862,Class I,333.78
cc-usa-1,r-usa-i-3008,Class I,333.78
cc-usa-1,r-usa-i-3030,Class I,333.78
cc-usa-2,r-usa-i-3080,Class I,468.28
cc-usa-1,r-usa-i-3221,Class I,333.78
cc-usa-1,r-usa-i-3259,Class I,333.78
cc-usa-1,r-usa-i-3374,Class I,333.78
cc-usa-1,r-usa-i-3428,Class I,333.78
cc-usa-1,r-usa-i-3484,Class I,333.78
cc-usa-1,r-usa-i-3511,Class I,333.78
cc-usa-1,r-usa-i-3582,Class I,333.78
cc-usa-2,r-usa-i-3621,Class I,468.28
cc-usa-2,r-usa-i-3667,Class I,468.28
cc-usa-2,r-usa-i-3691,Class I,468.28
cc-usa-2,r-usa-i-3771,Class I,468.28
cc-usa-1,r-usa-i-3888,Class I,333.78
cc-usa-2,r-usa-i-4023,Class I,468.28
cc-usa-1,r-usa-i-4040,Class I,333.78
cc-usa-2,r-usa-i-4082,Class I,468.28
cc-usa-2,r-usa-i-4233,Class I,468.28
cc-usa-1,r-usa-i-4285,Class I,333.78
cc-usa-2,r-usa-i-4348,Class I,468.28
cc-usa-1,r-usa-i-4353,Class I,333.78
cc-usa-1,r-usa-i-4381,Class I,333.78
cc-usa-1,r-usa-i-4571,Class I,333.78
cc-usa-2,r-usa-i-4665,Class I,468.28
cc-usa-2,r-usa-i-4677,Class I,468.28
cc-usa-2,r-usa-i-4710,Class I,468.28
cc-usa-1,r-usa-i-4765,Class I,333.78
cc-usa-1,r-usa-i-4853,Class I,333.78
cc-usa-1,r-usa-i-4864,Class I,333.78
cc-usa-1,r-usa-i-4991,Class I,333.78
cc-usa-2,r-usa-i-5003,Class I,468.28
cc-usa-1,r-usa-i-5006,Class I,333.78
cc-usa-1,r-usa-i-5008,Class I,333.78
cc-usa-2,r-usa-i-5039,Class I,468.28
cc-usa-1,r-usa-i-5054,Class I,333.78
cc-usa-1,r-usa-i-5059,Class I,333.78
