room_id,room_type,care_center_id,rate
r-idn-vip-7114,VIP,cc-idn-2,627.13
r-idn-ii-6542,Class II,cc-idn-1,195.46
r-idn-i-8444,Class I,cc-idn-1,359.31
r-idn-iii-4801,Class III,cc-idn-1,94.5
r-idn-i-1452,Class I,cc-idn-1,359.31
r-idn-i-3531,Class I,cc-idn-2,315.24
r-idn-iii-5720,Class III,cc-idn-2,115.65
r-idn-iii-7184,Class III,cc-idn-1,94.5
r-idn-vvip-8917,VVIP,cc-idn-1,970.83
r-idn-ii-2386,Class II,cc-idn-2,240.15
r-idn-ii-5160,Class II,cc-idn-2,240.15
r-idn-i-6180,Class I,cc-idn-2,315.24
r-idn-i-7887,Class I,cc-idn-2,315.24
r-idn-i-8372,Class I,cc-idn-1,359.31
r-idn-vip-3364,VIP,cc-idn-1,615.4
r-idn-vvip-0893,VVIP,cc-idn-1,970.83
r-idn-iii-7884,Class III,cc-idn-2,115.65
r-idn-i-7555,Class I,cc-idn-2,315.24
r-idn-iii-4697,Class III,cc-idn-1,94.5
r-idn-i-2054,Class I,cc-idn-2,315.24
r-idn-vip-8704,VIP,cc-idn-2,627.13
r-idn-vvip-9744,VVIP,cc-idn-2,940.92
r-idn-vvip-0376,VVIP,cc-idn-2,940.92
r-idn-vip-2071,VIP,cc-idn-2,627.13
r-idn-i-9855,Class I,cc-idn-2,315.24
r-idn-i-0636,Class I,cc-idn-1,359.31
r-idn-iii-4390,Class III,cc-idn-2,115.65
r-idn-vip-9665,VIP,cc-idn-2,627.13
r-idn-vip-8565,VIP,cc-idn-2,627.13
r-idn-ii-6103,Class II,cc-idn-1,195.46
r-idn-iii-4590,Class III,cc-idn-2,115.65
r-idn-i-6489,Class I,cc-idn-1,359.31
r-idn-i-4343,Class I,cc-idn-1,359.31
r-idn-ii-7624,Class II,cc-idn-1,195.46
r-idn-i-5857,Class I,cc-idn-1,359.31
r-idn-ii-6457,Class II,cc-idn-2,240.15
r-idn-vvip-2520,VVIP,cc-idn-2,940.92
r-idn-iii-9731,Class III,cc-idn-1,94.5
r-idn-iii-3521,Class III,cc-idn-1,94.5
r-idn-vip-2624,VIP,cc-idn-1,615.4
r-idn-vvip-8874,VVIP,cc-idn-2,940.92
r-idn-iii-3850,Class III,cc-idn-2,115.65
r-idn-vvip-0269,VVIP,cc-idn-2,940.92
r-idn-i-8016,Class I,cc-idn-2,315.24
r-idn-i-7226,Class I,cc-idn-1,359.31
r-idn-iii-3212,Class III,cc-idn-1,94.5
r-idn-vvip-2899,VVIP,cc-idn-2,940.92
r-idn-vvip-9945,VVIP,cc-idn-1,970.83
r-idn-vvip-6869,VVIP,cc-idn-1,970.83
r-idn-i-5299,Class I,cc-idn-2,315.24
r-idn-iii-9106,Class III,cc-idn-2,115.65
r-idn-vip-1066,VIP,cc-idn-2,627.13
r-idn-vip-3635,VIP,cc-idn-1,615.4
r-idn-vip-7343,VIP,cc-idn-2,627.13
r-idn-iii-5028,Class III,cc-idn-2,115.65
r-idn-i-6102,Class I,cc-idn-2,315.24
r-idn-i-9737,Class I,cc-idn-1,359.31
r-idn-ii-4655,Class II,cc-idn-1,195.46
r-idn-ii-9740,Class II,cc-idn-2,240.15
r-idn-ii-0536,Class II,cc-idn-2,240.15
r-idn-vip-2151,VIP,cc-idn-1,615.4
r-idn-vip-0634,VIP,cc-idn-1,615.4
r-idn-i-9401,Class I,cc-idn-1,359.31
r-idn-vvip-8077,VVIP,cc-idn-1,970.83
r-idn-i-4462,Class I,cc-idn-1,359.31
r-idn-ii-9513,Class II,cc-idn-1,195.46
r-idn-i-1417,Class I,cc-idn-1,359.31
r-idn-iii-5414,Class III,cc-idn-1,94.5
r-idn-iii-9660,Class III,cc-idn-1,94.5
r-idn-ii-0499,Class II,cc-idn-2,240.15
r-idn-i-6476,Class I,cc-idn-2,315.24
r-idn-ii-4598,Class II,cc-idn-1,195.46
