care_center_id,room_id,room_type,rate
cc-idn-1,r-idn-i-0493,Class I,359.31
cc-idn-1,r-idn-i-0636,Class I,359.31
cc-idn-2,r-idn-i-0759,Class I,315.24
cc-idn-1,r-idn-i-1417,Class I,359.31
cc-idn-1,r-idn-i-1452,Class I,359.31
cc-idn-2,r-idn-i-1546,Class I,315.24
cc-idn-2,r-idn-i-2054,Class I,315.24
cc-idn-2,r-idn-i-2385,Class I,315.24
cc-idn-1,r-idn-i-3164,Class I,359.31
cc-idn-1,r-idn-i-3503,Class I,359.31
cc-idn-2,r-idn-i-3531,Class I,315.24
cc-idn-2,r-idn-i-4044,Class I,315.24
cc-idn-1,r-idn-i-4343,Class I,359.31
cc-idn-1,r-idn-i-4398,Class I,359.31
cc-idn-1,r-idn-i-4462,Class I,359.31
cc-idn-2,r-idn-i-5102,Class I,315.24
cc-idn-2,r-idn-i-5299,Class I,315.24
cc-idn-1,r-idn-i-5732,Class I,359.31
cc-idn-1,r-idn-i-5830,Class I,359.31
cc-idn-1,r-idn-i-5857,Class I,359.31
cc-idn-2,r-idn-i-6102,Class I,315.24
cc-idn-2,r-idn-i-6180,Class I,315.24
cc-idn-2,r-idn-i-6392,Class I,315.24
cc-idn-2,r-idn-i-6476,Class I,315.24
cc-idn-1,r-idn-i-6489,Class I,359.31
cc-idn-2,r-idn-i-6616,Class I,315.24
cc-idn-2,r-idn-i-6924,Class I,315.24
cc-idn-1,r-idn-i-7117,Class I,359.31
cc-idn-1,r-idn-i-7125,Class I,359.31
cc-idn-1,r-idn-i-7226,Class I,359.31
cc-idn-1,r-idn-i-7261,Class I,359.31
cc-idn-2,r-idn-i-7555,Class I,315.24
cc-idn-2,r-idn-i-7887,Class I,315.24
cc-idn-2,r-idn-i-8016,Class I,315.24
cc-idn-1,r-idn-i-8045,Class I,359.31
cc-idn-1,r-idn-i-8372,Class I,359.31
cc-idn-1,r-idn-i-8397,Class I,359.31
cc-idn-1,r-idn-i-8444,Class I,359.31
cc-idn-1,r-idn-i-8497,Class I,359.31
cc-idn-1,r-idn-i-9192,Class I,359.31
cc-idn-2,r-idn-i-9295,Class I,315.24
cc-idn-2,r-idn-i-9345,Class I,315.24
cc-idn-1,r-idn-i-9401,Class I,359.31
cc-idn-1,r-idn-i-9649,Class I,359.31
cc-idn-1,r-idn-i-9737,Class I,359.31
cc-idn-2,r-idn-i-9855,Class I,315.24
cc-idn-1,r-idn-i-9881,Class I,359.31
cc-idn-2,r-idn-ii-0499,Class II,240.15
cc-idn-2,r-idn-ii-0536,Class II,240.15
cc-idn-1,r-idn-ii-0705,Class II,195.46
cc-idn-2,r-idn-ii-0964,Class II,240.15
cc-idn-1,r-idn-ii-1227,Class II,195.46
cc-idn-1,r-idn-ii-1294,Class II,195.46
cc-idn-2,r-idn-ii-1705,Class II,240.15
cc-idn-1,r-idn-ii-2326,Class II,195.46
cc-idn-2,r-idn-ii-2386,Class II,240.15
cc-idn-1,r-idn-ii-2751,Class II,195.46
cc-idn-1,r-idn-ii-3199,Class II,195.46
cc-idn-1,r-idn-ii-3200,Class II,195.46
cc-idn-1,r-idn-ii-3562,Class II,195.46
cc-idn-1,r-idn-ii-4195,Class II,195.46
cc-idn-2,r-idn-ii-4286,Class II,240.15
cc-idn-1,r-idn-ii-4598,Class II,195.46
cc-idn-1,r-idn-ii-4655,Class II,195.46
cc-idn-1,r-idn-ii-4688,Class II,195.46
cc-idn-2,r-idn-ii-5160,Class II,240.15
cc-idn-1,r-idn-ii-5318,Class II,195.46
cc-idn-2,r-idn-ii-5756,Class II,240.15
cc-idn-1,r-idn-ii-5795,Class II,195.46
cc-idn-2,r-idn-ii-5799,Class II,240.15
cc-idn-1,r-idn-ii-6103,Class II,195.46
cc-idn-1,r-idn-ii-6231,Class II,195.46
cc-idn-2,r-idn-ii-6457,Class II,240.15
cc-idn-2,r-idn-ii-6504,Class II,240.15
cc-idn-1,r-idn-ii-6542,Class II,195.46
cc-idn-2,r-idn-ii-6603,Class II,240.15
cc-idn-1,r-idn-ii-6615,Class II,195.46
cc-idn-1,r-idn-ii-6805,Class II,195.46
cc-idn-1,r-idn-ii-7158,Class II,195.46
cc-idn-1,r-idn-ii-7624,Class II,195.46
cc-idn-1,r-idn-ii-7718,Class II,195.46
cc-idn-2,r-idn-ii-8139,Class II,240.15
cc-idn-2,r-idn-ii-8660,Class II,240.15
cc-idn-2,r-idn-ii-9148,Class II,240.15
cc-idn-1,r-idn-ii-9202,Class II,195.46
cc-idn-1,r-idn-ii-9459,Class II,195.46
cc-idn-1,r-idn-ii-9513,Class II,195.46
cc-idn-2,r-idn-ii-9740,Class II,240.15
cc-idn-2,r-idn-ii-9783,Class II,240.15
cc-idn-2,r-idn-iii-0632,Class III,115.65
cc-idn-1,r-idn-iii-0895,Class III,94.5
cc-idn-1,r-idn-iii-0999,Class III,94.5
cc-idn-2,r-idn-iii-1271,Class III,115.65
cc-idn-2,r-idn-iii-1460,Class III,115.65
cc-idn-2,r-idn-iii-1498,Class III,115.65
cc-idn-1,r-idn-iii-1707,Class III,94.5
cc-idn-2,r-idn-iii-2900,Class III,115.65
cc-idn-2,r-idn-iii-2918,Class III,115.65
cc-idn-1,r-idn-iii-2936,Class III,94.5
cc-idn-2,r-idn-iii-3000,Class III,115.65
