bed_id,care_center_id,room_id
b-usa-7182,cc-usa-2,r-usa-iii-2108
b-usa-6824,cc-usa-2,r-usa-ii-8720
b-usa-3531,cc-usa-1,r-usa-vvip-9554
b-usa-6661,cc-usa-1,r-usa-iii-9384
b-usa-3918,cc-usa-1,r-usa-iii-2726
b-usa-8872,cc-usa-1,r-usa-vip-6242
b-usa-1421,cc-usa-2,r-usa-iii-2962
b-usa-6568,cc-usa-2,r-usa-iii-7582
b-usa-9568,cc-usa-1,r-usa-vip-2217
b-usa-2474,cc-usa-1,r-usa-ii-8720
b-usa-1145,cc-usa-1,r-usa-vip-2217
b-usa-9692,cc-usa-1,r-usa-vvip-1041
b-usa-8313,cc-usa-2,r-usa-ii-8720
b-usa-0924,cc-usa-2,r-usa-vvip-2969
b-usa-5643,cc-usa-1,r-usa-iii-5712
b-usa-4750,cc-usa-2,r-usa-iii-3213
b-usa-9333,cc-usa-1,r-usa-vip-6903
b-usa-3190,cc-usa-2,r-usa-vvip-3342
b-usa-0790,cc-usa-2,r-usa-vvip-7601
b-usa-7495,cc-usa-1,r-usa-vvip-2312
b-usa-0716,cc-usa-1,r-usa-iii-4615
b-usa-5553,cc-usa-1,r-usa-iii-0704
b-usa-5041,cc-usa-2,r-usa-vip-2158
b-usa-5600,cc-usa-1,r-usa-vvip-4521
b-usa-8716,cc-usa-1,r-usa-vvip-3569
b-usa-2787,cc-usa-2,r-usa-vvip-4246
b-usa-8476,cc-usa-1,r-usa-i-8280
b-usa-9776,cc-usa-2,r-usa-vip-6262
b-usa-5908,cc-usa-2,r-usa-vip-7069
b-usa-9615,cc-usa-2,r-usa-vvip-2773
b-usa-7303,cc-usa-1,r-usa-vip-6353
b-usa-9377,cc-usa-2,r-usa-ii-6457
b-usa-5190,cc-usa-2,r-usa-iii-9970
b-usa-4618,cc-usa-2,r-usa-vip-6262
b-usa-3556,cc-usa-2,r-usa-vip-3088
b-usa-6545,cc-usa-1,r-usa-vvip-4226
b-usa-0382,cc-usa-2,r-usa-ii-7211
b-usa-4768,cc-usa-2,r-usa-i-9075
b-usa-1324,cc-usa-2,r-usa-ii-3837
b-usa-5082,cc-usa-2,r-usa-i-5298
b-usa-3138,cc-usa-1,r-usa-ii-6126
b-usa-0216,cc-usa-2,r-usa-iii-3213
b-usa-8650,cc-usa-2,r-usa-vvip-3005
b-usa-9554,cc-usa-1,r-usa-iii-6413
b-usa-4729,cc-usa-1,r-usa-vvip-6484
b-usa-0606,cc-usa-1,r-usa-vvip-8224
b-usa-4394,cc-usa-2,r-usa-ii-2909
b-usa-9370,cc-usa-2,r-usa-vip-5169
b-usa-2353,cc-usa-1,r-usa-iii-8563
b-usa-6631,cc-usa-1,r-usa-i-4815
b-usa-9025,cc-usa-1,r-usa-vvip-2969
b-usa-2163,cc-usa-1,r-usa-ii-7211
b-usa-2411,cc-usa-2,r-usa-iii-7683
b-usa-8347,cc-usa-1,r-usa-ii-2534
b-usa-4577,cc-usa-2,r-usa-vvip-4822
b-usa-0332,cc-usa-1,r-usa-vip-6903
b-usa-7474,cc-usa-1,r-usa-iii-1149
b-usa-9766,cc-usa-2,r-usa-vvip-8224
b-usa-0727,cc-usa-1,r-usa-iii-2791
b-usa-5667,cc-usa-1,r-usa-iii-5566
b-usa-2359,cc-usa-2,r-usa-ii-0028
b-usa-5038,cc-usa-2,r-usa-vvip-6484
b-usa-3068,cc-usa-2,r-usa-vip-5169
b-usa-3192,cc-usa-2,r-usa-vvip-8310
b-usa-9877,cc-usa-2,r-usa-iii-6413
b-usa-7699,cc-usa-2,r-usa-vip-2158
b-usa-4612,cc-usa-1,r-usa-ii-2534
b-usa-2412,cc-usa-2,r-usa-iii-5527
b-usa-5988,cc-usa-1,r-usa-vvip-3569
b-usa-9328,cc-usa-1,r-usa-i-8133
b-usa-4127,cc-usa-2,r-usa-ii-6457
b-usa-5868,cc-usa-2,r-usa-i-5041
b-usa-2514,cc-usa-2,r-usa-iii-7963
b-usa-4011,cc-usa-2,r-usa-vvip-8224
b-usa-2032,cc-usa-2,r-usa-i-8805
b-usa-5892,cc-usa-1,r-usa-i-5148
b-usa-9400,cc-usa-2,r-usa-ii-7699
b-usa-4470,cc-usa-2,r-usa-vvip-4226
b-usa-3979,cc-usa-1,r-usa-vip-3088
