room_id,room_type,care_center_id,rate
r-usa-ii-7950,Class II,cc-usa-1,225.11
r-usa-iii-4615,Class III,cc-usa-1,77.11
r-usa-i-3886,Class I,cc-usa-2,479.38
r-usa-iii-7963,Class III,cc-usa-2,83.64
r-usa-ii-0282,Class II,cc-usa-2,184.48
r-usa-vip-8328,VIP,cc-usa-2,672.34
r-usa-iii-9363,Class III,cc-usa-1,77.11
r-usa-vip-1438,VIP,cc-usa-1,520.66
r-usa-vip-0036,VIP,cc-usa-2,672.34
r-usa-i-4815,Class I,cc-usa-1,319.53
r-usa-iii-5566,Class III,cc-usa-2,83.64
r-usa-iii-8807,Class III,cc-usa-2,83.64
r-usa-vip-0587,VIP,cc-usa-2,672.34
r-usa-iii-7632,Class III,cc-usa-2,83.64
r-usa-vip-9992,VIP,cc-usa-1,520.66
r-usa-vip-6121,VIP,cc-usa-1,520.66
r-usa-i-8082,Class I,cc-usa-2,479.38
r-usa-vvip-3342,VVIP,cc-usa-2,919.31
r-usa-vip-3469,VIP,cc-usa-1,520.66
r-usa-iii-9970,Class III,cc-usa-1,77.11
r-usa-iii-5645,Class III,cc-usa-1,77.11
r-usa-vip-4766,VIP,cc-usa-1,520.66
r-usa-vip-6903,VIP,cc-usa-1,520.66
r-usa-ii-8237,Class II,cc-usa-1,225.11
r-usa-iii-3213,Class III,cc-usa-2,83.64
r-usa-i-1001,Class I,cc-usa-2,479.38
r-usa-ii-2764,Class II,cc-usa-2,184.48
r-usa-vip-2158,VIP,cc-usa-1,520.66
r-usa-ii-7446,Class II,cc-usa-1,225.11
r-usa-ii-2534,Class II,cc-usa-2,184.48
r-usa-ii-7699,Class II,cc-usa-1,225.11
r-usa-vvip-3964,VVIP,cc-usa-1,784.86
r-usa-vip-8766,VIP,cc-usa-1,520.66
r-usa-vvip-9554,VVIP,cc-usa-2,919.31
r-usa-vvip-1041,VVIP,cc-usa-2,919.31
r-usa-vvip-5016,VVIP,cc-usa-1,784.86
r-usa-vvip-8224,VVIP,cc-usa-1,784.86
r-usa-ii-7211,Class II,cc-usa-2,184.48
r-usa-i-1183,Class I,cc-usa-2,479.38
r-usa-iii-6266,Class III,cc-usa-1,77.11
r-usa-iii-3667,Class III,cc-usa-2,83.64
r-usa-iii-2962,Class III,cc-usa-2,83.64
r-usa-vvip-1283,VVIP,cc-usa-1,784.86
r-usa-i-7162,Class I,cc-usa-2,479.38
r-usa-ii-8143,Class II,cc-usa-2,184.48
r-usa-i-7503,Class I,cc-usa-1,319.53
r-usa-i-8908,Class I,cc-usa-2,479.38
r-usa-vvip-0935,VVIP,cc-usa-1,784.86
r-usa-vvip-0485,VVIP,cc-usa-1,784.86
r-usa-iii-4396,Class III,cc-usa-1,77.11
r-usa-ii-3143,Class II,cc-usa-2,184.48
r-usa-ii-0028,Class II,cc-usa-2,184.48
r-usa-vip-5014,VIP,cc-usa-2,672.34
r-usa-i-2978,Class I,cc-usa-1,319.53
r-usa-ii-1489,Class II,cc-usa-1,225.11
r-usa-vvip-2969,VVIP,cc-usa-2,919.31
r-usa-i-9320,Class I,cc-usa-1,319.53
r-usa-iii-3130,Class III,cc-usa-1,77.11
r-usa-vvip-3173,VVIP,cc-usa-1,784.86
r-usa-vvip-4521,VVIP,cc-usa-1,784.86
r-usa-vip-5496,VIP,cc-usa-2,672.34
r-usa-vip-6178,VIP,cc-usa-2,672.34
r-usa-vip-6788,VIP,cc-usa-1,520.66
r-usa-iii-1149,Class III,cc-usa-1,77.11
r-usa-iii-5817,Class III,cc-usa-2,83.64
r-usa-vip-5897,VIP,cc-usa-1,520.66
r-usa-i-3419,Class I,cc-usa-2,479.38
r-usa-i-6563,Class I,cc-usa-2,479.38
r-usa-iii-3491,Class III,cc-usa-2,83.64
r-usa-ii-6457,Class II,cc-usa-2,184.48
r-usa-vvip-7652,VVIP,cc-usa-1,784.86
r-usa-vvip-7512,VVIP,cc-usa-2,919.31
r-usa-i-8133,Class I,cc-usa-1,319.53
r-usa-vvip-6493,VVIP,cc-usa-1,784.86
r-usa-iii-7683,Class III,cc-usa-1,77.11
r-usa-vip-2254,VIP,cc-usa-1,520.66
r-usa-i-3789,Class I,cc-usa-2,479.38
r-usa-vip-3088,VIP,cc-usa-1,520.66
r-usa-ii-9775,Class II,cc-usa-1,225.11
r-usa-vvip-3084,VVIP,cc-usa-2,919.31
r-usa-iii-0308,Class III,cc-usa-1,77.11
r-usa-vvip-1174,VVIP,cc-usa-1,784.86
r-usa-iii-8563,Class III,cc-usa-1,77.11
r-usa-i-1261,Class I,cc-usa-2,479.38
r-usa-iii-2831,Class III,cc-usa-2,83.64
r-usa-ii-8662,Class II,cc-usa-2,184.48
r-usa-vip-3401,VIP,cc-usa-1,520.66
r-usa-vip-6532,VIP,cc-usa-1,520.66
r-usa-iii-6704,Class III,cc-usa-2,83.64
r-usa-vvip-8310,VVIP,cc-usa-2,919.31
r-usa-iii-6938,Class III,cc-usa-1,77.11
r-usa-i-8061,Class I,cc-usa-1,319.53
r-usa-iii-9386,Class III,cc-usa-1,77.11
r-usa-vip-1650,VIP,cc-usa-1,520.66
r-usa-iii-7780,Class III,cc-usa-1,77.11
r-usa-vvip-5192,VVIP,cc-usa-2,919.31
r-usa-iii-0021,Class III,cc-usa-1,77.11
r-usa-i-8432,Class I,cc-usa-1,319.53
r-usa-vip-1380,VIP,cc-usa-2,672.34
r-usa-vip-6624,VIP,cc-usa-1,520.66
