care_center_id,room_id,room_type,rate
cc-usa-2,r-usa-i-1001,Class I,479.38
cc-usa-2,r-usa-i-1055,Class I,479.38
cc-usa-2,r-usa-i-1183,Class I,479.38
cc-usa-2,r-usa-i-1261,Class I,479.38
cc-usa-2,r-usa-i-1699,Class I,479.38
cc-usa-1,r-usa-i-2268,Class I,319.53
cc-usa-1,r-usa-i-2978,Class I,319.53
cc-usa-2,r-usa-i-3301,Class I,479.38
cc-usa-2,r-usa-i-3419,Class I,479.38
cc-usa-2,r-usa-i-3789,Class I,479.38
cc-usa-2,r-usa-i-3886,Class I,479.38
cc-usa-1,r-usa-i-4815,Class I,319.53
cc-usa-1,r-usa-i-5041,Class I,319.53
cc-usa-1,r-usa-i-5148,Class I,319.53
cc-usa-2,r-usa-i-5298,Class I,479.38
cc-usa-2,r-usa-i-5511,Class I,479.38
cc-usa-2,r-usa-i-5899,Class I,479.38
cc-usa-2,r-usa-i-6190,Class I,479.38
cc-usa-2,r-usa-i-6563,Class I,479.38
cc-usa-2,r-usa-i-6653,Class I,479.38
cc-usa-1,r-usa-i-6699,Class I,319.53
cc-usa-2,r-usa-i-7162,Class I,479.38
cc-usa-1,r-usa-i-7503,Class I,319.53
cc-usa-2,r-usa-i-7946,Class I,479.38
cc-usa-1,r-usa-i-8061,Class I,319.53
cc-usa-2,r-usa-i-8082,Class I,479.38
cc-usa-1,r-usa-i-8133,Class I,319.53
cc-usa-1,r-usa-i-8280,Class I,319.53
cc-usa-1,r-usa-i-8432,Class I,319.53
cc-usa-1,r-usa-i-8805,Class I,319.53
cc-usa-2,r-usa-i-8908,Class I,479.38
cc-usa-1,r-usa-i-9075,Class I,319.53
cc-usa-1,r-usa-i-9320,Class I,319.53
cc-usa-2,r-usa-i-9462,Class I,479.38
cc-usa-2,r-usa-ii-0028,Class II,184.48
cc-usa-2,r-usa-ii-0282,Class II,184.48
cc-usa-1,r-usa-ii-0679,Class II,225.11
cc-usa-1,r-usa-ii-1489,Class II,225.11
cc-usa-2,r-usa-ii-2534,Class II,184.48
cc-usa-2,r-usa-ii-2764,Class II,184.48
cc-usa-1,r-usa-ii-2909,Class II,225.11
cc-usa-2,r-usa-ii-3143,Class II,184.48
cc-usa-2,r-usa-ii-3837,Class II,184.48
cc-usa-2,r-usa-ii-4324,Class II,184.48
cc-usa-2,r-usa-ii-5307,Class II,184.48
